epoch,loss,train_acc,test_acc,wall_s
1,1.4130372494459151,0.2625,0.25,68.04195642471313
2,1.3828710526227952,0.35,0.275,67.74532890319824
3,1.3700046837329865,0.25,0.25,67.78287482261658
4,1.3407073408365249,0.5,0.425,67.80160903930664
5,1.3027930408716202,0.5,0.5,67.98447751998901
6,1.2618486374616622,0.5,0.425,67.79296708106995
7,1.2355360992252826,0.3875,0.425,68.25935935974121
8,1.244657677412033,0.525,0.425,68.9397201538086
9,1.1880552768707275,0.5125,0.5,68.35263061523438
10,1.1677460089325904,0.4875,0.475,66.00148129463196
11,1.1434419713914394,0.4875,0.475,62.47331762313843
12,1.1126464664936067,0.4875,0.475,61.1380660533905
13,1.0720731370151042,0.4875,0.475,61.11277461051941
14,1.028500108420849,0.4875,0.475,60.862024784088135
15,0.999962005764246,0.55,0.375,61.083558559417725
16,0.9711357668042183,0.4125,0.4,61.2043399810791
17,0.9450796715915203,0.5375,0.375,61.30729579925537
18,0.9301241837441921,0.5,0.375,61.48459720611572
19,0.9020920120179653,0.5625,0.4,61.51648998260498
20,0.8511844389140606,0.55,0.425,61.023860931396484
